GeneSymbol	infected_vs_uninfected	infected_vs_uninfected_6mice
Acot9	n.s.	n.s.
Acox1	n.s.	n.s.
Acox2	n.s.	n.s.
Acox3	n.s.	n.s.
Acoxl	n.s.	n.s.
Acp1	n.s.	n.s.
Acp2	n.s.	n.s.
Acp5	n.s.	n.s.
Acp6	n.s.	n.s.
Acpp	n.s.	n.s.
Acrbp	n.s.	n.s.
Acrv1	n.s.	n.s.
Acsbg1	n.s.	n.s.
Acsf2	n.s.	n.s.
Acsf3	n.s.	n.s.
Acsl1	n.s.	n.s.
Acsl3	n.s.	n.s.
Acsl4	n.s.	n.s.
Acsl5	n.s.	n.s.
Acsl6	n.s.	n.s.
Acsm3	n.s.	n.s.
Acss1	n.s.	n.s.
Acss2	n.s.	n.s.
Acss3	n.s.	n.s.
Acta1	n.s.	n.s.
Acta2	n.s.	n.s.
Actb	n.s.	n.s.
Actc1	Down	Down
Actg1	n.s.	n.s.
Actg2	n.s.	n.s.
Actl10	n.s.	n.s.
Actl6a	n.s.	n.s.
Actn1	n.s.	n.s.
Actn3	n.s.	n.s.
Actn4	n.s.	n.s.
Actr10	n.s.	n.s.
Actr1a	n.s.	n.s.
Actr1b	n.s.	n.s.
Actr2	n.s.	n.s.
Actr3	n.s.	n.s.
Actr3b	n.s.	n.s.
Actr5	n.s.	n.s.
Actr6	n.s.	n.s.
Actr8	n.s.	n.s.
Acvr1	n.s.	n.s.
Acvr1b	n.s.	n.s.
Acvr1c	n.s.	n.s.
Acvr2a	n.s.	n.s.
Acvr2b	n.s.	n.s.
Acvrl1	n.s.	n.s.
Acy1	n.s.	n.s.
Acy3	n.s.	n.s.
Acyp1	n.s.	n.s.
Acyp2	n.s.	n.s.
Ada	n.s.	n.s.
Adal	n.s.	n.s.
Adam10	n.s.	n.s.
Adam11	n.s.	n.s.
Adam12	n.s.	n.s.
Adam15	n.s.	n.s.
Adam17	n.s.	n.s.
Adam19	n.s.	n.s.
Adam1b	n.s.	n.s.
Adam22	n.s.	n.s.
Adam23	n.s.	n.s.
Adam28	n.s.	n.s.
Adam33	n.s.	n.s.
Adam4	n.s.	n.s.
Adam8	n.s.	n.s.
Adam9	n.s.	n.s.
Adamdec1	n.s.	Down
Adamts1	n.s.	n.s.
Adamts10	n.s.	n.s.
Adamts12	n.s.	n.s.
Adamts13	n.s.	n.s.
Adamts14	n.s.	n.s.
Adamts15	n.s.	n.s.
Adamts16	n.s.	n.s.
Adamts17	n.s.	n.s.
Adamts18	Down	Down
Adamts19	n.s.	n.s.
Adamts2	n.s.	n.s.
Adamts20	n.s.	n.s.
Adamts3	n.s.	n.s.
Adamts4	n.s.	n.s.
Adamts5	n.s.	n.s.
Adamts6	n.s.	n.s.
Adamts7	n.s.	n.s.
Adamts8	n.s.	n.s.
Adamts9	n.s.	n.s.
Adamtsl1	n.s.	Up
Adamtsl2	n.s.	n.s.
Adamtsl3	n.s.	Down
Adamtsl4	n.s.	n.s.
Adamtsl5	n.s.	n.s.
Adap1	n.s.	n.s.
Adap2	n.s.	n.s.
Adar	n.s.	Up
Adarb1	n.s.	n.s.
Adat1	n.s.	n.s.
Adat2	n.s.	n.s.
Adck1	n.s.	n.s.
Adck2	n.s.	n.s.
Adck5	n.s.	n.s.
Adcy1	n.s.	n.s.
Adcy10	n.s.	n.s.
Adcy2	n.s.	n.s.
Adcy3	n.s.	n.s.
Adcy4	n.s.	n.s.
Adcy5	n.s.	n.s.
Adcy6	n.s.	n.s.
Adcy7	n.s.	n.s.
Adcy9	n.s.	n.s.
Adcyap1r1	n.s.	n.s.
Add1	n.s.	n.s.
Add2	n.s.	n.s.
Add3	n.s.	n.s.
Adgb	n.s.	n.s.
Adgra1	n.s.	n.s.
Adgra2	n.s.	n.s.
Adgra3	n.s.	n.s.
Adgrb1	n.s.	n.s.
Adgrb2	n.s.	n.s.
Adgrd1	n.s.	Up
Adgre1	n.s.	n.s.
Adgre5	n.s.	n.s.
Adgrf3	n.s.	n.s.
Adgrf5	n.s.	n.s.
Adgrg1	n.s.	n.s.
Adgrg2	n.s.	n.s.
Adgrg5	n.s.	n.s.
Adgrg6	n.s.	n.s.
Adgrl1	n.s.	n.s.
Adgrl2	n.s.	Up
Adgrl3	n.s.	n.s.
Adgrl4	n.s.	Up
Adgrv1	n.s.	n.s.
Adh1	n.s.	n.s.
Adh5	n.s.	n.s.
Adh7	n.s.	n.s.
Adhfe1	n.s.	n.s.
Adi1	n.s.	n.s.
Adipor1	n.s.	n.s.
Adipor2	n.s.	n.s.
Adk	n.s.	n.s.
Adm	n.s.	n.s.
Adnp	n.s.	n.s.
Adnp2	n.s.	n.s.
Ado	n.s.	n.s.
Adora1	n.s.	n.s.
Adora2a	n.s.	n.s.
Adora2b	n.s.	n.s.
Adpgk	n.s.	n.s.
Adprh	n.s.	n.s.
Adprhl2	n.s.	n.s.
Adprm	n.s.	n.s.
Adra1a	n.s.	n.s.
Adra1b	n.s.	n.s.
Adra1d	n.s.	n.s.
Adra2a	n.s.	n.s.
Adra2b	n.s.	n.s.
Adra2c	n.s.	n.s.
Adrb1	n.s.	n.s.
Adrb2	n.s.	n.s.
Adrb3	n.s.	n.s.
Adrm1	n.s.	n.s.
Adsl	n.s.	n.s.
Adss	n.s.	n.s.
Adtrp	n.s.	n.s.
Aebp1	n.s.	n.s.
Aebp2	n.s.	n.s.
Aen	n.s.	n.s.
Aes	n.s.	n.s.
Afap1	n.s.	n.s.
Afap1l1	n.s.	n.s.
Afap1l2	n.s.	n.s.
Afdn	n.s.	n.s.
Aff1	n.s.	n.s.
Aff2	n.s.	n.s.
Aff3	n.s.	n.s.
Aff4	n.s.	n.s.
Afg1l	n.s.	n.s.
Afg3l1	n.s.	n.s.
Afg3l2	n.s.	n.s.
Afm	n.s.	n.s.
Afmid	n.s.	n.s.
Aftph	n.s.	n.s.
Aga	n.s.	n.s.
Agap1	n.s.	n.s.
